n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
semi_234;MONITOR2017_20;PRACC;PRACC;semianalfabeta ;semi;analfabeta;bonded;a-nal-fa-be-ta;5;simple;adjective;attributive/appositive;spirit;maximum_standard;Proximative;Proximative;                              tonnellate di cellule di Henrietta . Una montagna di cellule , tutte a_partire_dal corpo minuto di una povera signora < semianalfabeta > che , senza saperlo , ha dato un contributo eccezionale alla scienza . Gli articoli scientifici riferiti a studi in cui                              
mezzo_196;MONITOR2008_10;NARRAT;NARRAT;mezz'aperta;mezzo;aperta;debonded;a-per-ta;3;conv_Vpart;adjective;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;             AvrÃ² fatto la faccia di scimunito . Andai allo specchio per vedere la faccia che aveva visto Anna . Occhi sbarrati , bocca < mezz ' aperta > , mandibola fissata male : confermato il ritratto dello scimunito . Mi sembravo il pastore della meraviglia sul                         
semi_17;CORIS1980_2000;NARRAT;NARRATRacconti;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                             metallico con un cerchio all ' estremità  . Lo immerse nel liquido della tazza e lo posà² soavemente davanti_alle labbra < semiaperte > e rinsecchite di Aldo . Dal cerchio cominciarono ad uscire bollicine di sapone , che occuparono subito lo spazio tra le                              
semi_25;CORIS1980_2000;MISC;MISCVolumi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;predicative_subj;material;mimimum_standard;Attenuation;Attenuation;                             chiara sul ventre . Il capo , arrotondato , porta orecchie lunghissime e mobili , grandi occhi che nel sonno rimangono < semiaperti > , labbro superiore ornato di baffi , fesso nel mezzo . Le zampe posteriori sono leggermente pià¹ lunghe di quelle                                     
semi_26;MONITOR2001_04;NARRAT;NARRAT;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                      che i suoi piedi non toccassero il suolo . Il volto della giovane era pallido e segnato da una smorfia di dolore , e la bocca < semiaperta > lasciava uscire un gemito ultraterreno mentre gli occhi erano gonfi ed arrossati a_causa_del pianto incessante . A                                   
semi_52;MONITOR2017_20;NARRAT;NARRAT;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                           cosa di succhiarsi i baffi , tanto da essere tentato di sparargli alla nuca senza rimorsi . Allo stato , perà² , la bocca < semiaperta > era impegnata a ingerire aria , quindi niente succhiamento . Poi il medico riguadagnà² la parola . - Buongiorno a tutti , e                           
semi_63;MONITOR2008_10;NARRAT;NARRAT;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                             del sesso spinto . àˆ tutta una negazione , all ' inizio . Un no che si trasformerà  in un sà¬ tondo e pulito e una bocca < semiaperta > che penderà  dalla vostra prossima battuta . Ma se mi state a sentire perà² . Perchà© noi dobbiamo vincere le madri . Che non à¨                         
semi_68;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;                      flash , scattato in un ' ora diversa , in un altro giorno , con altra luce , Matilde dorme veramente , con la bocca pesante , < semiaperta > , nascosta dal lenzuolo salvo_che per un triangolo bruno di coscia . Vero à¨ che sullo stesso cuscino , mescolando ai                                 
semi_76;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;"                    a questo . "" Diede una occhiata intorno . "" I mobili in stile "" aggiunse . "" Cioà¨ che non l 'hanno."" Si diresse verso una porta < semiaperta > . "" Vediamo il locale per il quale hanno arredato gli altri . "" Erano passati in una stanza occupata da un letto                                     "
semi_106;CORIS1980_2000;NARRAT;NARRATRomanzi;semiaperto ;semi;aperto;bonded;a-per-to;3;conv_Vpart;participle_adj;attributive/appositive;material;mimimum_standard;Attenuation;Attenuation;"                         fumi . Tenevo Amparo sottobraccio e a un tratto sentii le sue mani che traspiravano , il suo corpo che tremava , le labbra < semiaperte > . "" Non mi sento bene , "" disse , "" vorrei uscire . "" Aglià¨ si accorse dell ' incidente e mi aiutà² ad accompagnarla fuori . Nell                     "
